Time,Position
0,19.832
66.667,12.269
133.334,44.034
200.001,90.588
266.668,106.72
333.335,75.798
400.002,29.58
466.669,10.588
533.336,32.269
600.003,78.655
666.67,107.56
733.337,87.731
800.004,40.84
866.671,11.261
933.338,22.521
1000.005,65.378
1066.672,103.87
1133.339,97.815
1200.006,53.95
1266.673,15.798
1333.34,15.63
1400.007,52.101
1466.674,96.639
1533.341,104.54
1600.008,67.395
1666.675,23.529
1733.342,11.597
1800.009,39.664
1866.676,86.386
1933.343,107.39
2000.01,80.168
2066.677,10.42
2133.344,28.235
2200.011,74.118
2266.678,106.55
2333.345,91.428
2400.012,45.378
2466.679,12.605
2533.346,19.16
2600.013,60.672
2666.68,101.85
2733.347,100.17
2800.014,58.655
2866.681,18.151
2933.348,13.613
3000.015,47.563
3066.682,93.445
3133.349,105.55
3200.016,72.101
3266.683,26.723
3333.35,10.42
3400.017,35.126
3466.684,82.353
3533.351,107.23
3600.018,84.706
3666.685,37.479
3733.352,10.746
3800.019,25.042
3866.686,69.412
3933.353,104.87
4000.02,95.126
4066.687,50.42
4133.354,14.118
4200.021,17.143
4266.688,55.63
4333.355,99.16
4400.022,102.86
4466.689,63.361
4533.356,20.504
4600.023,12.101
4666.69,42.857
4733.357,89.58
4800.024,107.23
4866.691,77.143
4933.358,30.42
5000.025,10.252
5066.692,31.429
5133.359,77.647
5200.026,106.89
5266.693,88.571
5333.36,41.176
5400.027,11.933
5466.694,22.017
5533.361,64.538
5600.028,103.87
5666.695,98.487
5733.362,54.958
5800.029,16.134
5866.696,14.958
5933.363,51.26
6000.03,95.966
6066.697,104.54
6133.364,68.403
6200.031,23.529
6266.698,11.092
6333.365,37.983
6400.032,85.714
6466.699,107.39
6533.366,81.513
6600.033,33.781
6666.7,10.588
6733.367,27.395
6800.034,73.277
6866.701,106.39
6933.368,92.101
7000.035,46.387
7066.702,12.605
7133.369,18.824
7200.036,59.946
7266.703,101.34
7333.37,100.84
7400.037,59.496
7466.704,18.992
7533.371,13.445
7600.038,46.891
7666.705,92.437
7733.372,106.05
7800.039,72.941
7866.706,27.059
7933.373,10.756
8000.04,34.454
8066.707,81.681
8133.374,107.39
8200.041,85.378
8266.708,38.319
8333.375,11.261
8400.042,24.37
8466.709,68.403
8533.376,104.87
8600.043,95.63
8666.71,50.756
8733.377,14.454
8800.044,16.303
8866.711,55.294
8933.378,98.487
9000.045,103.36
9066.712,64.37
9133.379,21.681
9200.046,12.101
9266.713,42.017
9333.38,89.076
9400.047,107.23
9466.714,77.983
9533.381,31.092
9600.048,10.756
9666.715,31.26
9733.382,77.143
9800.049,107.06
9866.716,89.58
9933.383,43.025
10000.05,12.269
10066.717,21.681
10133.384,63.697
10200.051,103.53
10266.718,98.991
10333.385,55.798
10400.052,16.639
10466.719,14.622
10533.386,50.588
10600.053,95.63
10666.72,105.04
10733.387,69.076
10800.054,24.538
10866.721,10.924
10933.388,38.319
11000.055,84.874
11066.722,107.56
11133.389,82.353
11200.056,34.958
11266.723,10.756
11333.39,26.891
11400.057,72.101
11466.724,106.39
11533.391,93.109
11600.058,47.227
11666.725,13.277
11733.392,18.655
11800.059,58.823
11866.726,101.01
11933.393,101.51
12000.06,60.336
12066.727,19.16
12133.394,13.109
12200.061,45.546
12266.728,92.101
12333.395,106.22
12400.062,73.949
12466.729,27.731
12533.396,10.252
12600.063,34.118
12666.73,80.336
12733.397,107.73
12800.064,86.386
12866.731,39.328
12933.398,11.597
13000.065,23.529
13066.732,67.395
13133.399,104.54
13200.066,96.302
13266.733,52.101
13333.4,14.79
13400.067,16.303
13466.734,54.286
13533.401,98.319
13600.068,103.7
13666.735,65.546
13733.402,22.185
13800.069,11.933
13866.736,41.176
13933.403,88.067
14000.07,107.39
14066.737,78.992
14133.404,31.933
14200.071,10.756
14266.738,29.758
14333.405,75.798
14400.072,106.72
14466.739,90.42
14533.406,43.529
14600.073,12.605
14666.74,20.84
14733.407,62.521
14800.074,103.19
14866.741,99.16
14933.408,56.639
15000.075,17.143
15066.742,14.454
15133.409,49.412
15200.076,94.958
15266.743,105.21
